,Nanoparticle,Type: Organic (O)/inorganic (I),coat,Diameter (nm),Concentration μM,Zeta potential (mV),Cells,Cell line (L)/primary cells (P),Human(H)/Animal(A) cells,"Cell age: embryonic (E), Adult (A)",Exposure time (h),% Cell viability
521,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,72,86.36364
522,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,72,82.954544
523,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,72,60.795456
524,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,72,55.113636
525,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,120,92.61364
526,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,120,75.568184
527,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,120,74.431816
528,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,120,53.409092
529,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,120,43.75
530,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,168,69.88636
531,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,168,61.93182
532,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,168,55.113636
533,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,168,50.56818
534,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,168,32.954544
535,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,1,92.11166
536,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,1,92.1278825
537,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,1,92.141609
538,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,1,90.741489
539,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,1,91.701108
540,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,4,93.644055
541,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,4,93.6590295
542,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,4,95.0878506
543,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,4,95.105321
544,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,4,91.820905
545,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,24,96.122342
546,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,24,97.551163
547,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,24,96.152291
548,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,24,94.7521715
549,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,24,85.335679
550,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,SH­SY5Y,L,H,A,72,23.12519
551,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,SH­SY5Y,L,H,A,72,23.14016
552,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,SH­SY5Y,L,H,A,72,28.81801
553,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,SH­SY5Y,L,H,A,72,38.266945
554,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,SH­SY5Y,L,H,A,72,34.50958
555,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,1,94.855769
556,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,1,93.9800825
557,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,1,93.995932
558,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,1,93.116283
559,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,1,93.133453
560,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,4,93.6327133
561,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,4,93.199493
562,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,4,94.1095204
563,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,4,92.787405
564,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,4,96.3720415
565,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,24,93.301194
566,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,24,92.869294
567,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,24,92.436074
568,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,24,91.113958
569,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,24,91.132449
570,Iron oxide,I,PEG to the PEI,361.4,2.00E-08,12.1,RAW 264.7,L,A,A,72,88.05896
571,Iron oxide,I,PEG to the PEI,361.4,4.01E-08,12.1,RAW 264.7,L,A,A,72,88.072168
572,Iron oxide,I,PEG to the PEI,361.4,8.01E-08,12.1,RAW 264.7,L,A,A,72,89.871091
573,Iron oxide,I,PEG to the PEI,361.4,1.60E-07,12.1,RAW 264.7,L,A,A,72,90.333368
574,Iron oxide,I,PEG to the PEI,361.4,3.21E-07,12.1,RAW 264.7,L,A,A,72,91.689825
575,Iron oxide,I,PEG,16,0.002955218493,,HMEC­1,L,H,E,24,109.81651
576,Iron oxide,I,PEG,16,0.002955218493,,HMEC­1,L,H,E,72,111.48148
577,Iron oxide,I,PEG-NH2,16,0.002955218493,,HMEC­1,L,H,E,24,86.69725
578,Iron oxide,I,PEG-NH2,16,0.002955218493,,HMEC­1,L,H,E,72,79.07407
579,Iron oxide,I,,957,6.91E-13,,HCMEC,P,H,A,12,94.38202
580,Iron oxide,I,,957,6.91E-12,,HCMEC,P,H,A,12,94.38202
581,Iron oxide,I,,957,6.91E-11,,HCMEC,P,H,A,12,96.62921
582,Iron oxide,I,,957,6.91E-10,,HCMEC,P,H,A,12,96.62921
583,Iron oxide,I,,957,3.45E-09,,HCMEC,P,H,A,12,100
584,Iron oxide,I,,957,6.91E-09,,HCMEC,P,H,A,12,98.8764
585,Iron oxide,I,,957,1.38E-08,,HCMEC,P,H,A,12,97.75281
586,Iron oxide,I,,957,3.45E-08,,HCMEC,P,H,A,12,97.75281
587,Iron oxide,I,,957,6.91E-08,,HCMEC,P,H,A,12,95.505615
588,Iron oxide,I,,957,6.91E-13,,HCMEC,P,H,A,24,96.62921
589,Iron oxide,I,,957,6.91E-12,,HCMEC,P,H,A,24,97.75281
590,Iron oxide,I,,957,6.91E-11,,HCMEC,P,H,A,24,97.75281
591,Iron oxide,I,,957,6.91E-10,,HCMEC,P,H,A,24,93.25843
592,Iron oxide,I,,957,3.45E-09,,HCMEC,P,H,A,24,88.764046
593,Iron oxide,I,,957,6.91E-09,,HCMEC,P,H,A,24,89.88764
594,Iron oxide,I,,957,1.38E-08,,HCMEC,P,H,A,24,92.134834
595,Iron oxide,I,,957,3.45E-08,,HCMEC,P,H,A,24,92.134834
596,Iron oxide,I,,957,6.91E-08,,HCMEC,P,H,A,24,89.88764
597,Iron oxide,I,,957,6.91E-13,,HCMEC,P,H,A,12,95.4905033
598,Iron oxide,I,,957,6.91E-12,,HCMEC,P,H,A,12,99.20229125
599,Iron oxide,I,,957,6.91E-11,,HCMEC,P,H,A,12,95.435032
600,Iron oxide,I,,957,6.91E-10,,HCMEC,P,H,A,12,95.40609
601,Iron oxide,I,,957,3.45E-09,,HCMEC,P,H,A,12,87.905336
602,Iron oxide,I,,957,6.91E-09,,HCMEC,P,H,A,12,87.873982
603,Iron oxide,I,,957,1.38E-08,,HCMEC,P,H,A,12,85.978293
604,Iron oxide,I,,957,3.45E-08,,HCMEC,P,H,A,12,91.55924
605,Iron oxide,I,,957,6.91E-08,,HCMEC,P,H,A,12,87.791981
606,Iron oxide,I,,957,6.91E-13,,HCMEC,P,H,A,24,98.1869159
607,Iron oxide,I,,957,6.91E-12,,HCMEC,P,H,A,24,98.1579741
608,Iron oxide,I,,957,6.91E-11,,HCMEC,P,H,A,24,94.3931265
609,Iron oxide,I,,957,6.91E-10,,HCMEC,P,H,A,24,86.889961
610,Iron oxide,I,,957,3.45E-09,,HCMEC,P,H,A,24,86.861019
611,Iron oxide,I,,957,6.91E-09,,HCMEC,P,H,A,24,86.832077
612,Iron oxide,I,,957,1.38E-08,,HCMEC,P,H,A,24,83.069641
613,Iron oxide,I,,957,3.45E-08,,HCMEC,P,H,A,24,84.909859
614,Iron oxide,I,,957,6.91E-08,,HCMEC,P,H,A,24,83.01417
615,Iron oxide,I,,196.4,7.99E-08,,A549,L,H,A,24,96.346596
616,Iron oxide,I,,196.4,7.99E-08,,A549,L,H,A,72,95.28805
617,Iron oxide,I,,196.4,7.99E-07,,A549,L,H,A,24,95.04239
618,Iron oxide,I,,196.4,7.99E-07,,A549,L,H,A,72,91.270515
619,Iron oxide,I,,196.4,7.99E-06,,A549,L,H,A,24,93.7379
620,Iron oxide,I,,196.4,7.99E-06,,A549,L,H,A,72,88.29703
621,Iron oxide,I,,196.4,7.99E-08,,A549,L,H,A,24,97.32284
622,Iron oxide,I,,196.4,7.99E-07,,A549,L,H,A,24,91.02362
623,Iron oxide,I,,196.4,7.99E-06,,A549,L,H,A,24,-58.89764
624,Iron oxide,I,,196.4,7.99E-08,,A549,L,H,A,24,99.49775452
625,Iron oxide,I,,196.4,7.99E-07,,A549,L,H,A,24,99.48388338
626,Iron oxide,I,,196.4,7.99E-06,,A549,L,H,A,24,98.21391782
627,Iron oxide,I,BSA,12,0.1751240589,,HeLa,L,H,A,6,116.68046
628,Iron oxide,I,BSA,12,0.3502481177,,HeLa,L,H,A,6,125.76342
629,Iron oxide,I,BSA,12,0.7004962355,,HeLa,L,H,A,6,118.42655
630,Iron oxide,I,BSA,12,1.400992471,,HeLa,L,H,A,6,106.33531
631,Iron oxide,I,BSA,12,2.801984942,,HeLa,L,H,A,6,60.540848
632,Iron oxide,I,BSA,12,0.1751240589,,MEF,L,A,E,6,95.12975
633,Iron oxide,I,BSA,12,0.3502481177,,MEF,L,A,E,6,97.29847
634,Iron oxide,I,BSA,12,0.7004962355,,MEF,L,A,E,6,100.33076
635,Iron oxide,I,BSA,12,1.400992471,,MEF,L,A,E,6,83.9204
636,Iron oxide,I,BSA,12,2.801984942,,MEF,L,A,E,6,52.38526
637,Iron oxide,I,BSA,12,0.1751240589,,HepG2,L,H,A,6,80.49265
638,Iron oxide,I,BSA,12,0.3502481177,,HepG2,L,H,A,6,86.55028
639,Iron oxide,I,BSA,12,0.7004962355,,HepG2,L,H,A,6,79.64488
640,Iron oxide,I,BSA,12,1.400992471,,HepG2,L,H,A,6,75.76418
641,Iron oxide,I,BSA,12,2.801984942,,HepG2,L,H,A,6,38.179634
642,Iron oxide,I,BSA,12,0.1751240589,,GH3,L,A,A,6,99.99025
643,Iron oxide,I,BSA,12,0.3502481177,,GH3,L,A,A,6,108.20964
644,Iron oxide,I,BSA,12,0.7004962355,,GH3,L,A,A,6,114.267265
645,Iron oxide,I,BSA,12,1.400992471,,GH3,L,A,A,6,97.42418
646,Iron oxide,I,BSA,12,2.801984942,,GH3,L,A,A,6,54.22169
647,Iron oxide,I,BSA,12,0.1751240589,,MCF7,L,H,A,6,106.52736
648,Iron oxide,I,BSA,12,0.3502481177,,MCF7,L,H,A,6,101.78246
649,Iron oxide,I,BSA,12,0.7004962355,,MCF7,L,H,A,6,105.678314
650,Iron oxide,I,BSA,12,1.400992471,,MCF7,L,H,A,6,100.06985
651,Iron oxide,I,BSA,12,2.801984942,,MCF7,L,H,A,6,47.361145
652,Iron oxide,I,BSA,12,0.1751240589,,CDBgeo,L,A,A,6,95.7779
653,Iron oxide,I,BSA,12,0.3502481177,,CDBgeo,L,A,A,6,98.81082
654,Iron oxide,I,BSA,12,0.7004962355,,CDBgeo,L,A,A,6,97.954834
655,Iron oxide,I,BSA,12,1.400992471,,CDBgeo,L,A,A,6,92.77783
656,Iron oxide,I,BSA,12,2.801984942,,CDBgeo,L,A,A,6,27.53884
657,Iron oxide,I,BSA,12,0.1751240589,,TD,L,A,A,6,100.5866
658,Iron oxide,I,BSA,12,0.3502481177,,TD,L,A,A,6,104.91329
659,Iron oxide,I,BSA,12,0.7004962355,,TD,L,A,A,6,100.16903
660,Iron oxide,I,BSA,12,1.400992471,,TD,L,A,A,6,98.01674
661,Iron oxide,I,BSA,12,2.801984942,,TD,L,A,A,6,56.110554
662,Iron oxide,I,BSA,12,0.1751240589,,V14,L,A,A,6,98.91
663,Iron oxide,I,BSA,12,0.3502481177,,V14,L,A,A,6,100.214516
664,Iron oxide,I,BSA,12,0.7004962355,,V14,L,A,A,6,95.038155
665,Iron oxide,I,BSA,12,1.400992471,,V14,L,A,A,6,91.15683
666,Iron oxide,I,BSA,12,2.801984942,,V14,L,A,A,6,65.6711
667,Iron oxide,I,alginate,30,0.002241587953,,PAECs,P,A,A,12,125
668,Iron oxide,I,alginate,30,0.002241587953,,PAECs,P,A,A,36,104.96454
669,Iron oxide,I,alginate,30,0.002241587953,,PAECs,P,A,A,60,96.4539
670,Iron oxide,I,alginate,30,0.02241587953,,PAECs,P,A,A,12,97.87234
671,Iron oxide,I,alginate,30,0.02241587953,,PAECs,P,A,A,36,81.56029
672,Iron oxide,I,alginate,30,0.02241587953,,PAECs,P,A,A,60,74.11347
673,Iron oxide,I,alginate,30,0.02241587953,,PAECs,P,A,A,24,84.69324
674,Iron oxide,I,alginate,30,0.02241587953,,PAECs,P,A,A,48,74.03898
675,Iron oxide,I,alginate,30,0.02241587953,,PAECs,P,A,A,72,67.576324
676,Iron oxide,I,alginate,30,0.02241587953,,PAECs,P,A,A,96,68.59861
677,Iron oxide,I,alginate,30,0.02241587953,,PAECs,P,A,A,144,64.980354
678,Iron oxide,I,,14,0.1102822062,,A549,L,H,A,48,63.070538
679,Iron oxide,I,,14,0.1102822062,,MCF7,L,H,A,48,73.029045
680,Iron oxide,I,,14,0.1102822062,,T98G,L,H,A,48,76.34855
681,Iron oxide,I,,14,0.1102822062,,A549,L,H,A,96,81.47948
682,Iron oxide,I,,14,0.1102822062,,MCF7,L,H,A,96,97.015015
683,Iron oxide,I,,14,0.1102822062,,T98G,L,H,A,96,93.21722
684,Iron oxide,I,COOH,20,0.0005,,HeLa,L,H,A,24,99.803925
685,Iron oxide,I,COOH,20,0.005,,HeLa,L,H,A,24,92.54902
686,Iron oxide,I,COOH,20,0.05,,HeLa,L,H,A,24,88.039215
687,Iron oxide,I,COOH,20,0.0005,,MG­63,L,H,A,24,98.43137
688,Iron oxide,I,COOH,20,0.005,,MG­63,L,H,A,24,91.56863
689,Iron oxide,I,COOH,20,0.05,,MG­63,L,H,A,24,82.15686
690,Iron oxide,I,NH2,20,0.0005,,HeLa,L,H,A,24,98.24219
691,Iron oxide,I,NH2,20,0.005,,HeLa,L,H,A,24,90.625
692,Iron oxide,I,NH2,20,0.05,,HeLa,L,H,A,24,79.296875
693,Iron oxide,I,NH2,20,0.0005,,MG­63,L,H,A,24,99.80469
694,Iron oxide,I,NH2,20,0.005,,MG­63,L,H,A,24,94.72656
695,Iron oxide,I,NH2,20,0.05,,MG­63,L,H,A,24,88.671875
696,Iron oxide,I,,12.5,0.01549385593,,hTERT­BJ1,L,H,A,24,97.3923
697,Iron oxide,I,,12.5,0.03098771187,,hTERT­BJ1,L,H,A,25,84.941284
698,Iron oxide,I,,12.5,0.07746927967,,hTERT­BJ1,L,H,A,26,72.867615
699,Iron oxide,I,,12.5,0.1549385593,,hTERT­BJ1,L,H,A,27,67.59135
700,Iron oxide,I,,12.5,0.3098771187,,hTERT­BJ1,L,H,A,28,49.814953
701,Iron oxide,I,PEG,45,0.0003320871042,,hTERT­BJ1,L,H,A,29,138.72183
702,Iron oxide,I,PEG,45,0.0006641742084,,hTERT­BJ1,L,H,A,30,131.8888
703,Iron oxide,I,PEG,45,0.001660435521,,hTERT­BJ1,L,H,A,31,128.6427
704,Iron oxide,I,PEG,45,0.003320871042,,hTERT­BJ1,L,H,A,32,127.77892
705,Iron oxide,I,PEG,45,0.006641742084,,hTERT­BJ1,L,H,A,33,113.213425
706,Iron oxide,I,dimercaptosuccinic,8.5,150,,PC12,L,A,A,48,69
707,Iron oxide,I,dimercaptosuccinic,8.5,150,,PC12,L,A,A,48,95.45
708,Iron oxide,I,dimercaptosuccinic,8.5,150,,PC12,L,A,A,48,90.26
709,Iron oxide,I,dimercaptosuccinic,8.5,1500,,PC12,L,A,A,96,74.53416149
710,Iron oxide,I,dimercaptosuccinic,8.5,1500,,PC12,L,A,A,96,73.37662338
711,Iron oxide,I,dimercaptosuccinic,8.5,1500,,PC12,L,A,A,96,70.77922078
712,Iron oxide,I,dimercaptosuccinic,8.5,15000,,PC12,L,A,A,144,18.63354037
713,Iron oxide,I,dimercaptosuccinic,8.5,15000,,PC12,L,A,A,144,4.545454545
714,Iron oxide,I,dimercaptosuccinic,8.5,15000,,PC12,L,A,A,144,11.68831169
715,Iron oxide,I,,13.5,0.001,,SH­SY5Y,L,H,A,48,84.26982
716,Iron oxide,I,,13.5,0.1,,SH­SY5Y,L,H,A,48,82.371574
717,Iron oxide,I,,13.5,1,,SH­SY5Y,L,H,A,48,61.130886
718,Iron oxide,I,,13.5,10,,SH­SY5Y,L,H,A,48,69.08662
719,Iron oxide,I,,13.5,100,,SH­SY5Y,L,H,A,48,78.13834
720,Iron oxide,I,,13.5,0.001,,H4,L,H,A,48,101.673546
721,Iron oxide,I,,13.5,0.1,,H4,L,H,A,48,93.43899
722,Iron oxide,I,,13.5,1,,H4,L,H,A,48,87.846344
723,Iron oxide,I,,13.5,10,,H4,L,H,A,48,84.520706
724,Iron oxide,I,,13.5,100,,H4,L,H,A,48,86.864334
725,Iron oxide,I,,13.5,0.001,,SH­SY5Y,L,H,A,48,97.64653
726,Iron oxide,I,,13.5,0.1,,SH­SY5Y,L,H,A,48,98.492836
727,Iron oxide,I,,13.5,1,,SH­SY5Y,L,H,A,48,96.617325
728,Iron oxide,I,,13.5,10,,SH­SY5Y,L,H,A,48,99.58113
729,Iron oxide,I,,13.5,100,,SH­SY5Y,L,H,A,48,98.008865
730,Iron oxide,I,,13.5,0.001,,H4,L,H,A,48,100.04773
731,Iron oxide,I,,13.5,0.1,,H4,L,H,A,48,99.98777
732,Iron oxide,I,,13.5,1,,H4,L,H,A,48,99.92608
733,Iron oxide,I,,13.5,10,,H4,L,H,A,48,98.65619
734,Iron oxide,I,,13.5,100,,H4,L,H,A,48,99.80574
735,Iron oxide,I,PEG,120,0.0002801984942,,VERO,L,A,A,24,76.6265
736,Iron oxide,I,PEG,120,0.0008377934976,,VERO,L,A,A,24,71.56626
737,Iron oxide,I,PEG,120,0.0008405954825,,VERO,L,A,A,24,44.096386
738,Iron oxide,I,PEG,120,0.001120793977,,VERO,L,A,A,24,31.084337
739,Iron oxide,I,PEG,120,0.001400992471,,VERO,L,A,A,24,27.46988
740,Iron oxide,I,PEG,120,0.0002801984942,,MDCK,L,A,A,24,99.13043
741,Iron oxide,I,PEG,120,0.0008377934976,,MDCK,L,A,A,24,113.04348
742,Iron oxide,I,PEG,120,0.0008405954825,,MDCK,L,A,A,24,113.04348
743,Iron oxide,I,PEG,120,0.001120793977,,MDCK,L,A,A,24,97.391304
744,Iron oxide,I,PEG,120,0.001400992471,,MDCK,L,A,A,24,116.521736
745,Iron oxide,I,Dextran,170,9.86E-05,,VERO,L,A,A,24,100.481926
746,Iron oxide,I,Dextran,170,0.0002946686676,,VERO,L,A,A,24,104.09638
747,Iron oxide,I,Dextran,170,0.0002956541815,,VERO,L,A,A,24,98.313255
748,Iron oxide,I,Dextran,170,0.0003942055754,,VERO,L,A,A,24,98.313255
749,Iron oxide,I,Dextran,170,0.0004927569692,,VERO,L,A,A,24,76.6265
750,Iron oxide,I,Dextran,170,9.86E-05,,MDCK,L,A,A,24,86.95652
751,Iron oxide,I,Dextran,170,0.0002946686676,,MDCK,L,A,A,24,75.652176
752,Iron oxide,I,Dextran,170,0.0002956541815,,MDCK,L,A,A,24,24.347826
753,Iron oxide,I,Dextran,170,0.0003942055754,,MDCK,L,A,A,24,22.608696
754,Iron oxide,I,Dextran,170,0.0004927569692,,MDCK,L,A,A,24,22.608696
755,Iron oxide,I,PEG,18.4,4.86E-05,,SKOV­3,L,H,A,24,89.89899
756,Iron oxide,I,PEG,18.4,9.72E-05,,SKOV­3,L,H,A,24,90.40404
757,Iron oxide,I,PEG,18.4,0.0004857760324,,SKOV­3,L,H,A,24,93.93939
758,Iron oxide,I,PEG,18.4,0.0009715520649,,SKOV­3,L,H,A,24,91.91919
759,Iron oxide,I,PEG,18.4,0.004857760324,,SKOV­3,L,H,A,24,80.80808
760,Iron oxide,I,PEG,18.4,0.009715520649,,SKOV­3,L,H,A,24,74.747475
761,Iron oxide,I,PEG,18.4,4.86E-05,,SKOV­3,L,H,A,48,105.55556
762,Iron oxide,I,PEG,18.4,9.72E-05,,SKOV­3,L,H,A,48,96.969696
763,Iron oxide,I,PEG,18.4,0.0004857760324,,SKOV­3,L,H,A,48,94.44444
764,Iron oxide,I,PEG,18.4,0.0009715520649,,SKOV­3,L,H,A,48,89.393936
765,Iron oxide,I,PEG,18.4,0.004857760324,,SKOV­3,L,H,A,48,87.37374
766,Iron oxide,I,PEG,18.4,0.009715520649,,SKOV­3,L,H,A,48,82.828285
767,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,8.69E-09,-23.5,SKOV­3,L,H,A,24,88.359535
768,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,1.74E-08,-23.5,SKOV­3,L,H,A,24,87.291214
769,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,8.69E-08,-23.5,SKOV­3,L,H,A,24,86.72798
770,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,1.74E-07,-23.5,SKOV­3,L,H,A,24,90.683495
771,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,8.69E-07,-23.5,SKOV­3,L,H,A,24,88.110214
772,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,1.74E-06,-23.5,SKOV­3,L,H,A,24,85.534355
773,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,8.69E-09,-23.5,SKOV­3,L,H,A,48,97.88402
774,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,1.74E-08,-23.5,SKOV­3,L,H,A,48,98.82833
775,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,8.69E-08,-23.5,SKOV­3,L,H,A,48,92.73359
776,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,1.74E-07,-23.5,SKOV­3,L,H,A,48,92.671585
777,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,8.69E-07,-23.5,SKOV­3,L,H,A,48,88.08567
778,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,1.74E-06,-23.5,SKOV­3,L,H,A,48,86.01491
779,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,8.69E-09,-23.5,Monocytes,P,H,A,24,97.067406
780,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,1.74E-08,-23.5,Monocytes,P,H,A,24,83.56256
781,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,8.69E-08,-23.5,Monocytes,P,H,A,24,83.124176
