,Nanoparticle,Type: Organic (O)/inorganic (I),coat,Diameter (nm),Concentration μM,Zeta potential (mV),Cells,Cell line (L)/primary cells (P),Human(H)/Animal(A) cells,"Cell age: embryonic (E), Adult (A)",Exposure time (h),% Cell viability
782,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,1.74E-07,-23.5,Monocytes,P,H,A,24,81.67816
783,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,8.69E-07,-23.5,Monocytes,P,H,A,24,81.74228
784,Iron oxide,I,folic acid with intermediate organic (PEG) coating,326.5,1.74E-06,-23.5,Monocytes,P,H,A,24,79.795074
785,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,1.47E-08,-27.7,SKOV­3,L,H,A,24,87.878784
786,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,2.94E-08,-27.7,SKOV­3,L,H,A,24,86.36364
787,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,1.47E-07,-27.7,SKOV­3,L,H,A,24,83.333336
788,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,2.94E-07,-27.7,SKOV­3,L,H,A,24,91.91919
789,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,1.47E-06,-27.7,SKOV­3,L,H,A,24,85.85859
790,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,2.94E-06,-27.7,SKOV­3,L,H,A,24,83.83839
791,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,1.47E-08,-27.7,SKOV­3,L,H,A,48,93.43434
792,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,2.94E-08,-27.7,SKOV­3,L,H,A,48,87.37374
793,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,1.47E-07,-27.7,SKOV­3,L,H,A,48,88.383835
794,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,2.94E-07,-27.7,SKOV­3,L,H,A,48,89.393936
795,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,1.47E-06,-27.7,SKOV­3,L,H,A,48,85.35354
796,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,2.94E-06,-27.7,SKOV­3,L,H,A,48,83.333336
797,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,1.47E-08,-27.7,Monocytes,P,H,A,24,97.09096
798,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,2.94E-08,-27.7,Monocytes,P,H,A,24,82.5811
799,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,1.47E-07,-27.7,Monocytes,P,H,A,24,77.617546
800,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,2.94E-07,-27.7,Monocytes,P,H,A,24,77.682976
801,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,1.47E-06,-27.7,Monocytes,P,H,A,24,91.81465
802,Iron oxide,I,folic acid with intermediate inorganic (silica) coating,274.1,2.94E-06,-27.7,Monocytes,P,H,A,24,91.87615
803,Iron oxide,I,,36,0.0001297215251,,A549,L,H,A,24,84.31279
804,Iron oxide,I,,36,0.0003243038127,,A549,L,H,A,24,72.735
805,Iron oxide,I,,36,0.0006486076254,,A549,L,H,A,24,56.729298
806,Iron oxide,I,,36,0.0001297215251,,A549,L,H,A,24,86.00683
807,Iron oxide,I,,36,0.0003243038127,,A549,L,H,A,24,78.22526
808,Iron oxide,I,,36,0.0006486076254,,A549,L,H,A,24,65.52901
1403,Cu2O,I,,88.5,7.63E-08,,A549,L,H,A,3,96.397514
1404,Cu2O,I,,88.5,2.72E-07,,A549,L,H,A,3,94.90683
1405,Cu2O,I,,88.5,7.63E-07,,A549,L,H,A,3,94.90683
1406,Cu2O,I,,88.5,2.54E-06,,A549,L,H,A,3,102.85714
1407,Cu2O,I,,88.5,8.17E-06,,A549,L,H,A,3,95.90062
1408,Cu2O,I,,88.5,2.63E-05,,A549,L,H,A,3,103.354034
1409,Cu2O,I,,88.5,8.17E-05,,A549,L,H,A,3,77.01863
1410,Cu2O,I,,88.5,0.0002627744924,,A549,L,H,A,3,69.06832
1411,Cu2O,I,,88.5,0.0008168089933,,A549,L,H,A,3,94.409935
1412,Cu2O,I,,88.5,0.002538971531,,A549,L,H,A,3,78.01242
1413,Cu2O,I,,88.5,7.63E-08,,A549,L,H,A,24,95.403725
1414,Cu2O,I,,88.5,2.45E-07,,A549,L,H,A,24,96.89441
1415,Cu2O,I,,88.5,7.63E-07,,A549,L,H,A,24,94.409935
1416,Cu2O,I,,88.5,2.54E-06,,A549,L,H,A,24,82.484474
1417,Cu2O,I,,88.5,7.63E-06,,A549,L,H,A,24,54.658386
1418,Cu2O,I,,88.5,2.54E-05,,A549,L,H,A,24,43.229813
1419,Cu2O,I,,88.5,7.63E-05,,A549,L,H,A,24,20.869566
1420,Cu2O,I,,88.5,0.0002538971607,,A549,L,H,A,24,23.354036
1421,Cu2O,I,,88.5,0.0007892147332,,A549,L,H,A,24,31.304348
1422,Cu2O,I,,88.5,0.002538971531,,A549,L,H,A,24,42.732918
1423,Cu2O,I,,88.5,7.63E-08,,A549,L,H,A,3,107.32919
1424,Cu2O,I,,88.5,2.54E-07,,A549,L,H,A,3,113.78882
1425,Cu2O,I,,88.5,7.63E-07,,A549,L,H,A,3,112.79503
1426,Cu2O,I,,88.5,2.54E-06,,A549,L,H,A,3,119.25466
1427,Cu2O,I,,88.5,7.63E-06,,A549,L,H,A,3,110.80746
1428,Cu2O,I,,88.5,2.45E-05,,A549,L,H,A,3,93.416145
1429,Cu2O,I,,88.5,7.63E-05,,A549,L,H,A,3,11.428572
1430,Cu2O,I,,88.5,0.0002453197257,,A549,L,H,A,3,0
1431,Cu2O,I,,88.5,0.0007892147332,,A549,L,H,A,3,0
1432,Cu2O,I,,88.5,0.002538971531,,A549,L,H,A,3,0
1433,Cu2O,I,,88.5,7.89E-08,,A549,L,H,A,24,108.32298
1434,Cu2O,I,,88.5,2.63E-07,,A549,L,H,A,24,95.403725
1435,Cu2O,I,,88.5,7.63E-07,,A549,L,H,A,24,101.86336
1436,Cu2O,I,,88.5,2.54E-06,,A549,L,H,A,24,101.86336
1437,Cu2O,I,,88.5,7.37E-06,,A549,L,H,A,24,96.397514
1438,Cu2O,I,,88.5,2.54E-05,,A549,L,H,A,24,67.08074
1439,Cu2O,I,,88.5,7.63E-05,,A549,L,H,A,24,13.913043
1440,Cu2O,I,,88.5,0.0002538971607,,A549,L,H,A,24,3.9751554
1441,Cu2O,I,,88.5,0.0007625525411,,A549,L,H,A,24,3.9751554
1442,Cu2O,I,,88.5,0.002538971531,,A549,L,H,A,24,0
1443,Cu2O,I,,88.5,7.36E-08,,PMA activated THP­1,L,H,A,3,113.862434
1444,Cu2O,I,,88.5,2.41E-07,,PMA activated THP­1,L,H,A,4,109.20635
1445,Cu2O,I,,88.5,7.36E-07,,PMA activated THP­1,L,H,A,5,84.2328
1446,Cu2O,I,,88.5,2.33E-06,,PMA activated THP­1,L,H,A,6,93.1217
1447,Cu2O,I,,88.5,7.90E-06,,PMA activated THP­1,L,H,A,7,92.27513
1448,Cu2O,I,,88.5,2.59E-05,,PMA activated THP­1,L,H,A,8,113.01588
1449,Cu2O,I,,88.5,7.63E-05,,PMA activated THP­1,L,H,A,9,98.20106
1450,Cu2O,I,,88.5,0.0002585668189,,PMA activated THP­1,L,H,A,10,96.93121
1451,Cu2O,I,,88.5,0.0007625525411,,PMA activated THP­1,L,H,A,11,79.15344
1452,Cu2O,I,,88.5,0.002585668189,,PMA activated THP­1,L,H,A,12,74.07407
1453,Cu2O,I,,88.5,7.36E-08,,PMA activated THP­1,L,H,A,24,109.62963
1454,Cu2O,I,,88.5,2.59E-07,,PMA activated THP­1,L,H,A,24,103.703705
1455,Cu2O,I,,88.5,7.90E-07,,PMA activated THP­1,L,H,A,24,93.1217
1456,Cu2O,I,,88.5,2.50E-06,,PMA activated THP­1,L,H,A,24,68.14815
1457,Cu2O,I,,88.5,7.63E-06,,PMA activated THP­1,L,H,A,24,30.05291
1458,Cu2O,I,,88.5,2.50E-05,,PMA activated THP­1,L,H,A,24,22.857143
1459,Cu2O,I,,88.5,7.63E-05,,PMA activated THP­1,L,H,A,24,17.777779
1460,Cu2O,I,,88.5,0.0002585668189,,PMA activated THP­1,L,H,A,24,18.624338
1461,Cu2O,I,,88.5,0.000789625749,,PMA activated THP­1,L,H,A,24,21.16402
1462,Cu2O,I,,88.5,0.002585668189,,PMA activated THP­1,L,H,A,24,25.820107
1463,Cu2O,I,,88.5,7.63E-08,,PMA activated THP­1,L,H,A,3,105.39683
1464,Cu2O,I,,88.5,2.41E-07,,PMA activated THP­1,L,H,A,3,109.20635
1465,Cu2O,I,,88.5,7.63E-07,,PMA activated THP­1,L,H,A,3,95.2381
1466,Cu2O,I,,88.5,2.50E-06,,PMA activated THP­1,L,H,A,3,104.55026
1467,Cu2O,I,,88.5,7.90E-06,,PMA activated THP­1,L,H,A,3,93.544975
1468,Cu2O,I,,88.5,2.50E-05,,PMA activated THP­1,L,H,A,3,85.07937
1469,Cu2O,I,,88.5,7.63E-05,,PMA activated THP­1,L,H,A,3,11.851851
1470,Cu2O,I,,88.5,0.0002585668189,,PMA activated THP­1,L,H,A,3,13.121693
1471,Cu2O,I,,88.5,0.000789625749,,PMA activated THP­1,L,H,A,3,3.3862433
1472,Cu2O,I,,88.5,0.002585668189,,PMA activated THP­1,L,H,A,3,0
1473,Cu2O,I,,88.5,7.36E-08,,PMA activated THP­1,L,H,A,24,106.666664
1474,Cu2O,I,,88.5,2.50E-07,,PMA activated THP­1,L,H,A,24,88.04233
1475,Cu2O,I,,88.5,7.63E-07,,PMA activated THP­1,L,H,A,24,95.2381
1476,Cu2O,I,,88.5,2.50E-06,,PMA activated THP­1,L,H,A,24,83.809525
1477,Cu2O,I,,88.5,7.63E-06,,PMA activated THP­1,L,H,A,24,46.984127
1478,Cu2O,I,,88.5,2.50E-05,,PMA activated THP­1,L,H,A,24,31.74603
1479,Cu2O,I,,88.5,7.90E-05,,PMA activated THP­1,L,H,A,24,10.1587305
1480,Cu2O,I,,88.5,0.000249701589,,PMA activated THP­1,L,H,A,24,10.1587305
1481,Cu2O,I,,88.5,0.0007625525411,,PMA activated THP­1,L,H,A,24,5.9259257
1482,Cu2O,I,,88.5,0.002585668189,,PMA activated THP­1,L,H,A,24,5.68E-14
1830,Au,I,PEG-OCH3,40,7.69E-05,,SVEC4­10,L,A,A,24,44.333332
1831,Au,I,PEG-OCH3,40,7.69E-05,,SVEC4­10,L,A,A,72,75.09091
1832,Au,I,PEG-OCH3,40,7.69E-05,,SVEC4­10,L,A,A,24,25.242424
1833,Au,I,PEG-OCH3,40,7.69E-05,,SVEC4­10,L,A,A,72,45.81818
1834,Au,I,PEG-COOH,40,7.69E-05,,SVEC4­10,L,A,A,24,27.787878
1835,Au,I,PEG-COOH,40,7.69E-05,,SVEC4­10,L,A,A,72,5.090909
1836,Au,I,PEG-COOH,40,7.69E-05,,SVEC4­10,L,A,A,24,27.787878
1837,Au,I,PEG-COOH,40,7.69E-05,,SVEC4­10,L,A,A,72,42
1838,Au,I,PEG-NH2,40,7.69E-05,,SVEC4­10,L,A,A,24,43.060608
1839,Au,I,PEG-NH2,40,7.69E-05,,SVEC4­10,L,A,A,72,98
1840,Au,I,PEG-NH2,40,7.69E-05,,SVEC4­10,L,A,A,24,23.969696
1841,Au,I,PEG-NH2,40,7.69E-05,,SVEC4­10,L,A,A,72,47.090908
1842,Au,I,PVP,21.2,50,,A549,L,H,A,24,98.4
1843,Au,I,PVP,21.2,50,,A549,L,H,A,48,98.666664
1844,Au,I,PVP,21.2,50,,A549,L,H,A,72,100.8
1845,Au,I,PVP,21.2,100,,A549,L,H,A,24,96.53333
1846,Au,I,PVP,21.2,100,,A549,L,H,A,48,100.8
1847,Au,I,PVP,21.2,100,,A549,L,H,A,72,97.6
1848,Au,I,PVP,21.2,300,,A549,L,H,A,24,96.53333
1849,Au,I,PVP,21.2,300,,A549,L,H,A,48,93.066666
1850,Au,I,PVP,21.2,300,,A549,L,H,A,72,96.8
1851,Au,I,PVP,21.2,700,,A549,L,H,A,24,99.2
1852,Au,I,PVP,21.2,700,,A549,L,H,A,48,94.4
1853,Au,I,PVP,21.2,700,,A549,L,H,A,72,94.666664
1854,Au,I,PVP,21.2,50,,NCIH441,L,H,A,24,99.688194
1855,Au,I,PVP,21.2,50,,NCIH441,L,H,A,48,99.688194
1856,Au,I,PVP,21.2,50,,NCIH441,L,H,A,72,99.42094
1857,Au,I,PVP,21.2,100,,NCIH441,L,H,A,24,95.412025
1858,Au,I,PVP,21.2,100,,NCIH441,L,H,A,48,98.88641
1859,Au,I,PVP,21.2,100,,NCIH441,L,H,A,72,100.489975
1860,Au,I,PVP,21.2,300,,NCIH441,L,H,A,24,99.15367
1861,Au,I,PVP,21.2,300,,NCIH441,L,H,A,48,99.42094
1862,Au,I,PVP,21.2,300,,NCIH441,L,H,A,72,105.56793
1863,Au,I,PVP,21.2,500,,NCIH441,L,H,A,24,98.88641
1864,Au,I,PVP,21.2,500,,NCIH441,L,H,A,48,100.489975
1865,Au,I,PVP,21.2,500,,NCIH441,L,H,A,72,107.973274
1866,Au,I,PVP,21.2,700,,NCIH441,L,H,A,24,97.817375
1867,Au,I,PVP,21.2,700,,NCIH441,L,H,A,48,100.489975
1868,Au,I,PVP,21.2,700,,NCIH441,L,H,A,72,105.56793
1869,Au,I,Citrate and PVP,27.17,50,,A549,L,H,A,24,95.94655
1870,Au,I,Citrate and PVP,27.17,50,,A549,L,H,A,48,95.67929
1871,Au,I,Citrate and PVP,27.17,50,,A549,L,H,A,72,95.412025
1872,Au,I,Citrate and PVP,27.17,100,,A549,L,H,A,24,97.55011
1873,Au,I,Citrate and PVP,27.17,100,,A549,L,H,A,48,98.88641
1874,Au,I,Citrate and PVP,27.17,100,,A549,L,H,A,72,91.67038
1875,Au,I,Citrate and PVP,27.17,300,,A549,L,H,A,24,97.817375
1876,Au,I,Citrate and PVP,27.17,300,,A549,L,H,A,48,98.35189
1877,Au,I,Citrate and PVP,27.17,300,,A549,L,H,A,72,94.07572
1878,Au,I,Citrate and PVP,27.17,500,,A549,L,H,A,24,94.34299
1879,Au,I,Citrate and PVP,27.17,500,,A549,L,H,A,48,88.730515
1880,Au,I,Citrate and PVP,27.17,500,,A549,L,H,A,72,81.78174
1881,Au,I,Citrate and PVP,27.17,700,,A549,L,H,A,24,85.523384
1882,Au,I,Citrate and PVP,27.17,700,,A549,L,H,A,48,79.643654
1883,Au,I,Citrate and PVP,27.17,700,,A549,L,H,A,72,63.340755
1884,Au,I,Citrate and PVP,27.17,50,,NCIH441,L,H,A,24,99.42094
1885,Au,I,Citrate and PVP,27.17,50,,NCIH441,L,H,A,48,101.82628
1886,Au,I,Citrate and PVP,27.17,50,,NCIH441,L,H,A,72,101.0245
1887,Au,I,Citrate and PVP,27.17,100,,NCIH441,L,H,A,24,100.22272
1888,Au,I,Citrate and PVP,27.17,100,,NCIH441,L,H,A,48,103.42985
1889,Au,I,Citrate and PVP,27.17,100,,NCIH441,L,H,A,72,102.62806
1890,Au,I,Citrate and PVP,27.17,300,,NCIH441,L,H,A,24,102.62806
1891,Au,I,Citrate and PVP,27.17,300,,NCIH441,L,H,A,48,101.55902
1892,Au,I,Citrate and PVP,27.17,300,,NCIH441,L,H,A,72,101.55902
1893,Au,I,Citrate and PVP,27.17,500,,NCIH441,L,H,A,24,101.0245
1894,Au,I,Citrate and PVP,27.17,500,,NCIH441,L,H,A,48,102.895325
1895,Au,I,Citrate and PVP,27.17,500,,NCIH441,L,H,A,72,99.95546
1896,Au,I,Citrate and PVP,27.17,700,,NCIH441,L,H,A,24,98.35189
1897,Au,I,Citrate and PVP,27.17,700,,NCIH441,L,H,A,48,92.47216
1898,Au,I,Citrate and PVP,27.17,700,,NCIH441,L,H,A,72,90.06682
1899,Au,I,Citrate and PVP,28.18,50,,A549,L,H,A,24,98.35189
1900,Au,I,Citrate and PVP,28.18,50,,A549,L,H,A,48,100.22272
1901,Au,I,Citrate and PVP,28.18,50,,A549,L,H,A,72,96.213806
1902,Au,I,Citrate and PVP,28.18,100,,A549,L,H,A,24,97.55011
1903,Au,I,Citrate and PVP,28.18,100,,A549,L,H,A,48,100.75724
1904,Au,I,Citrate and PVP,28.18,100,,A549,L,H,A,72,94.34299
1905,Au,I,Citrate and PVP,28.18,300,,A549,L,H,A,24,95.67929
1906,Au,I,Citrate and PVP,28.18,300,,A549,L,H,A,48,98.619156
1907,Au,I,Citrate and PVP,28.18,300,,A549,L,H,A,72,94.8775
1908,Au,I,Citrate and PVP,28.18,500,,A549,L,H,A,24,99.688194
1909,Au,I,Citrate and PVP,28.18,500,,A549,L,H,A,48,93.27394
1910,Au,I,Citrate and PVP,28.18,500,,A549,L,H,A,72,89.79955
1911,Au,I,Citrate and PVP,28.18,700,,A549,L,H,A,24,89.532295
1912,Au,I,Citrate and PVP,28.18,700,,A549,L,H,A,48,84.454346
1913,Au,I,Citrate and PVP,28.18,700,,A549,L,H,A,72,71.09132
1914,Au,I,Citrate and PVP,28.18,50,,NCIH441,L,H,A,24,98.88641
1915,Au,I,Citrate and PVP,28.18,50,,NCIH441,L,H,A,48,101.291756
1916,Au,I,Citrate and PVP,28.18,50,,NCIH441,L,H,A,72,100.75724
1917,Au,I,Citrate and PVP,28.18,100,,NCIH441,L,H,A,24,99.95546
1918,Au,I,Citrate and PVP,28.18,100,,NCIH441,L,H,A,48,103.96436
1919,Au,I,Citrate and PVP,28.18,100,,NCIH441,L,H,A,72,99.95546
1920,Au,I,Citrate and PVP,28.18,300,,NCIH441,L,H,A,24,101.291756
1921,Au,I,Citrate and PVP,28.18,300,,NCIH441,L,H,A,48,106.10245
1922,Au,I,Citrate and PVP,28.18,300,,NCIH441,L,H,A,72,102.093544
1923,Au,I,Citrate and PVP,28.18,500,,NCIH441,L,H,A,24,101.82628
1924,Au,I,Citrate and PVP,28.18,500,,NCIH441,L,H,A,48,105.30067
1925,Au,I,Citrate and PVP,28.18,500,,NCIH441,L,H,A,72,104.76614
1926,Au,I,Citrate and PVP,28.18,700,,NCIH441,L,H,A,24,101.82628
1927,Au,I,Citrate and PVP,28.18,700,,NCIH441,L,H,A,48,95.94655
1928,Au,I,Citrate and PVP,28.18,700,,NCIH441,L,H,A,72,97.55011
1929,Au,I,Citrate,21,0.0003544996613,,CHO22,L,H,A,24,100.11429
1930,Au,I,Citrate,21,0.0008862491531,,CHO22,L,H,A,24,99.08572
1931,Au,I,Citrate,21,0.001417998645,,CHO22,L,H,A,24,92.22857
1932,Au,I,Citrate,21,0.001949748137,,CHO22,L,H,A,24,87.08572
1933,Au,I,Citrate,21,0.002481497629,,CHO22,L,H,A,24,79.2
1934,Au,I,Citrate,21,0.001949748137,,CHO22,L,H,A,24,94.70085
1935,Au,I,Citrate,21,0.001949748137,,CHO22,L,H,A,36,91.62393
1936,Au,I,Citrate,21,0.001949748137,,CHO22,L,H,A,48,86.49573
1937,Au,I,Citrate,21,0.001949748137,,CHO22,L,H,A,60,86.83761
1938,Au,I,Citrate,21,0.001949748137,,CHO22,L,H,A,72,85.811966
1939,Au,I,Starch,21,0.0003544996613,,CHO22,L,H,A,24,100.11429
1940,Au,I,Starch,21,0.0008862491531,,CHO22,L,H,A,24,96
1941,Au,I,Starch,21,0.001417998645,,CHO22,L,H,A,24,96.34286
1942,Au,I,Starch,21,0.001949748137,,CHO22,L,H,A,24,90.51428
1943,Au,I,Starch,21,0.002481497629,,CHO22,L,H,A,24,77.14286
1944,Au,I,Starch,21,0.001949748137,,CHO22,L,H,A,24,96.75214
1945,Au,I,Starch,21,0.001949748137,,CHO22,L,H,A,36,96.75214
1946,Au,I,Starch,21,0.001949748137,,CHO22,L,H,A,48,93.67522
1947,Au,I,Starch,21,0.001949748137,,CHO22,L,H,A,60,91.28205
1948,Au,I,Starch,21,0.001949748137,,CHO22,L,H,A,72,89.91453
1949,Au,I,Gum Arabic,20,0.0004103776704,,CHO22,L,H,A,24,99.77143
1950,Au,I,Gum Arabic,20,0.001025944176,,CHO22,L,H,A,24,100.457146
1951,Au,I,Gum Arabic,20,0.001641510681,,CHO22,L,H,A,24,97.71429
1952,Au,I,Gum Arabic,20,0.002257077187,,CHO22,L,H,A,24,93.942856
1953,Au,I,Gum Arabic,20,0.002872643693,,CHO22,L,H,A,24,89.14286
1954,Au,I,Gum Arabic,20,0.002257077187,,CHO22,L,H,A,24,98.80342
1955,Au,I,Gum Arabic,20,0.002257077187,,CHO22,L,H,A,36,98.80342
1956,Au,I,Gum Arabic,20,0.002257077187,,CHO22,L,H,A,48,97.77778
1957,Au,I,Gum Arabic,20,0.002257077187,,CHO22,L,H,A,60,95.726494
1958,Au,I,Gum Arabic,20,0.002257077187,,CHO22,L,H,A,72,94.70085
1959,Au,I,,20,0.001,,HEK­293,L,H,E,48,100.75949
1960,Au,I,,20,0.01,,HEK­293,L,H,E,48,101.51899
1961,Au,I,,20,0.1,,HEK­293,L,H,E,48,101.51899
1962,Au,I,,20,1,,HEK­293,L,H,E,48,100.25317
1963,Au,I,,20,10,,HEK­293,L,H,E,48,94.177216
1964,Au,I,,20,100,,HEK­293,L,H,E,48,88.101265
1965,Au,I,,20,1000,,HEK­293,L,H,E,48,42.925983
1966,Au,I,Star anise,35,3.83E-08,,A549,L,H,A,48,94.210526
1967,Au,I,Star anise,35,1.53E-07,,A549,L,H,A,48,92.63158
1968,Au,I,Star anise,35,3.06E-07,,A549,L,H,A,48,90.52631
1969,Au,I,Star anise,35,3.83E-07,,A549,L,H,A,48,88.42105
1970,Au,I,Star anise,35,7.66E-07,,A549,L,H,A,48,80.52631
1971,Au,I,Citrate,35,3.83E-08,,A549,L,H,A,48,93.68421
1972,Au,I,Citrate,35,1.53E-07,,A549,L,H,A,48,89.47369
1973,Au,I,Citrate,35,3.06E-07,,A549,L,H,A,48,84.210526
1974,Au,I,Citrate,35,3.83E-07,,A549,L,H,A,48,81.57895
1975,Au,I,Citrate,35,7.66E-07,,A549,L,H,A,48,74.73684
1976,Au,I,Citrate,35,3.83E-08,,A549,L,H,A,48,92.63158
1977,Au,I,Citrate,35,1.53E-07,,A549,L,H,A,48,89.47369
1978,Au,I,Citrate,35,3.06E-07,,A549,L,H,A,48,82.10526
1979,Au,I,Citrate,35,3.83E-07,,A549,L,H,A,48,74.73684
1980,Au,I,Sodium borohydride,35,7.66E-07,,A549,L,H,A,48,69.47369
1981,Au,I,,25,0.001050566836,,MDA­MB­231,L,H,A,48,62.41379
1982,Au,I,,25,0.0005252834181,,MDA­MB­231,L,H,A,48,66.206894
1983,Au,I,,25,0.0001050566836,,MDA­MB­231,L,H,A,48,77.586205
1984,Au,I,,25,1.05E-05,,MDA­MB­231,L,H,A,48,80
1985,Au,I,PEG,21.7,0.01,-7.6,C17.2,L,A,A,24,91.451065
1986,Au,I,PEG,21.7,0.02,-7.6,C17.2,L,A,A,24,93.266335
1987,Au,I,PEG,21.7,0.05,-7.6,C17.2,L,A,A,24,95.39359
1988,Au,I,PEG,21.7,0.1,-7.6,C17.2,L,A,A,24,92.55768
1989,Au,I,PEG,21.7,0.2,-7.6,C17.2,L,A,A,24,88.172
1990,Au,I,PEG,21.7,0.4,-7.6,C17.2,L,A,A,24,82.23656
1991,Au,I,PEG,21.7,0.8,-7.6,C17.2,L,A,A,24,71.33922
1992,Au,I,PEG,21.7,0.01,-7.6,HUVEC,P,H,E,24,95.48146
1993,Au,I,PEG,21.7,0.02,-7.6,HUVEC,P,H,E,24,96.98729
1994,Au,I,PEG,21.7,0.05,-7.6,HUVEC,P,H,E,24,94.153275
1995,Au,I,PEG,21.7,0.1,-7.6,HUVEC,P,H,E,24,91.937515
1996,Au,I,PEG,21.7,0.2,-7.6,HUVEC,P,H,E,24,85.69136
1997,Au,I,PEG,21.7,0.4,-7.6,HUVEC,P,H,E,24,72.003944
1998,Au,I,PEG,21.7,0.8,-7.6,HUVEC,P,H,E,24,53.664707
1999,Au,I,PEG,21.7,0.01,-7.6,PC12,L,A,A,24,96.72178
2000,Au,I,PEG,21.7,0.02,-7.6,PC12,L,A,A,24,96.3684
2001,Au,I,PEG,21.7,0.05,-7.6,PC12,L,A,A,24,94.15264
2002,Au,I,PEG,21.7,0.1,-7.6,PC12,L,A,A,24,92.24696
2003,Au,I,PEG,21.7,0.2,-7.6,PC12,L,A,A,24,95.30382
2004,Au,I,PEG,21.7,0.4,-7.6,PC12,L,A,A,24,84.09704
2005,Au,I,PEG,21.7,0.8,-7.6,PC12,L,A,A,24,77.5408